variable,estimate,p_value,adj_r2,rmse,district,theme
weekly_haat,4.429328963082033,2.965403949233536e-6,0.023416663459020715,13.7236474579636,amravati,Facilities
any_primary_sch_toilet,0.06916646147334687,0.9708094108410825,-0.0011361304399670757,NA,amravati,Facilities
is_primary_school_with_computer_,3.2594961420255277,9.196916157362794e-4,0.011287456865204604,13.808608609442134,amravati,Facilities
is_village_connected_to_all_weat,1.5759564329483995,0.11545159883368727,0.0016803366567967881,13.875534158235135,amravati,Facilities
is_atm_available,7.503962897148923,6.174162752922317e-6,0.021854909630608654,13.734616515131506,amravati,Facilities
recreational_centre,2.444770328545311,0.014156521651703573,0.00569113624662132,13.847633277641838,amravati,Facilities
total_hhd_having_bpl_cards,0.017142538609845458,4.889304274390258e-14,0.06144748184620308,13.453775854972372,amravati,Others
gp_total_hhd_receiving_food_grai,0.007253459440398219,8.485185320753576e-6,0.02117833932462665,13.739365722320246,amravati,Others
total_hhd_availing_pmjdy_bank_ac,0.011726573495743972,9.851979626226928e-10,0.040493339145914686,13.603131464888639,amravati,Others
total_hhd_registered_under_pmjay,0.01571568653745012,7.979099775453778e-10,0.04094190586405333,13.59995137995015,amravati,Others
total_no_of_beneficiaries_receiv,0.17072818884637664,1.721952478495797e-5,0.019673806523251236,13.74992095925885,amravati,Others
total_no_of_farmers_received_ben,0.013424642445161407,2.681678339746703e-4,0.013867379140475311,13.79058091908887,amravati,Others
total_shg,0.05647684626224353,1.3009477566337022e-5,0.020269569009767063,13.745742282766717,amravati,Others
total_shg_accessed_bank_loans,0.32846363464666256,1.215720602281994e-9,0.040045950787657714,13.606302455592505,amravati,Others
total_hhd_having_pmsbhgy_benefit,0.008233046677945022,0.08187917674514573,0.0023035793606602795,13.871202291470992,amravati,Others
total_hhd_got_benefit_under_stat,0.026422648546658444,0.004426885706460484,0.00804138050225256,13.831257794968023,amravati,Others
gp_total_no_of_eligible_benefici,0.010705861247138007,6.811261511807448e-8,0.03146562736653724,13.666975545845178,amravati,Others
total_no_of_farmers_subscribed_a,0.012230854879867897,0.16627637332074663,0.0010424730953773054,13.879966247800834,amravati,Others
availability_of_high_school,6.316084532158045,8.216612877949847e-9,0.039601220615705146,13.844544638093419,aurangabad,Education
availability_of_middle_school,5.141584225562786,2.5444771608479856e-7,0.03155294026708044,13.902433253239419,aurangabad,Education
no_of_children_not_attending_sch,0.01904716560193542,3.2438743545182974e-4,0.014842092744701052,14.021865596071644,aurangabad,Education
total_minority_children_getting_,0.03155917400687445,3.2364575330892887e-7,0.030988583349793153,13.906483444514446,aurangabad,Education
availability_of_mid_day_meal_sch,4.362751371956001,0.0012588069465362896,0.011721627554722613,14.044055008497953,aurangabad,Education
is_vocational_edu_centre_availab,-2.1250861460586425,0.3656828520043699,-2.2631483376156503e-4,14.128693837967171,aurangabad,Education
availability_of_adult_edu_centre,-0.5146547461395192,0.8034533256931433,-0.0011753690265130512,14.135395179809457,aurangabad,Education
availability_of_ssc_school,5.211845826958619,4.903112339141977e-5,0.019231402983366563,13.99059394668774,aurangabad,Education
is_early_childhood_edu_provided_,3.0301802820087222,0.21542855513007664,6.716453571458114e-4,14.12235034691492,aurangabad,Education
