variable,estimate,std_error,t_value,p_value,district
is_broadband_available,2.2359394428949857,0.675440818870149,3.3103410105346875,9.682931281675747e-4,ratnagiri
recreational_centre,2.5743207868677933,0.9055187737485425,2.8429237046195883,0.004569766163888565,ratnagiri
total_hhd_registered_under_pmjay,0.017028837023070502,0.0062103786079881025,2.7419965992358586,0.0062260073598570595,ratnagiri
total_no_of_beneficiaries_receiv,0.5061870912221218,0.1363630341180396,3.712055063133549,2.1801857802233648e-4,ratnagiri
total_no_of_farmers_received_ben,-0.01602416678520139,0.0069654175786778745,-2.3005321079749224,0.021642495315212486,ratnagiri
total_shg,0.09422653676321707,0.030291054980423646,3.110705019158736,0.0019243174729620448,ratnagiri
weekly_haat,3.76951123224477,1.2677907638004065,2.973291287392767,0.003023598351691847,ratnagiri
availability_of_high_school,-3.5326935159957817,1.4464820567612284,-2.4422657021447765,0.01497088692865684,sangli
availability_of_middle_school,3.2812428692818427,1.3812226760349315,2.3756074427486875,0.017928878399580548,sangli
public_transport,3.8421287817944285,1.3950939429219849,2.7540287170534183,0.006119876513321466,sangli
total_hhd_got_benefit_under_stat,-0.03350766582326555,0.007666979690530791,-4.370386667992568,1.5345498458707483e-5,sangli
total_hhd_having_bpl_cards,0.004482426948455285,0.0018012363727497316,2.4885278891034726,0.013180049170612593,sangli
total_minority_children_getting_,-0.014502523497382179,0.004761387136788965,-3.045861023424897,0.002453440372876557,sangli
total_no_of_beneficiaries_receiv,-0.06859382919977851,0.0271190519937326,-2.5293594044375523,0.011760093574622028,sangli
total_no_of_farmers_received_ben,-0.0026860628796318647,0.001282662919831495,-2.094129983881296,0.03679509955445238,sangli
total_no_of_lactating_mothers,-0.07976655720937757,0.021872158802766987,-3.6469448639558397,2.957143135645071e-4,sangli
total_no_of_women_delivered_babi,0.17388704240854977,0.025439773428500016,6.835243360058594,2.6102849978382914e-11,sangli
total_shg,0.049459337965711385,0.015786189498897787,3.1330764127191495,0.0018403099819635465,sangli
total_underweight_child_age_unde,0.054240683582824474,0.009420554922879167,5.757695170492898,1.5605845168051722e-8,sangli
weekly_haat,3.9033586431345255,1.210214841594144,3.2253435580023653,0.001347863479483563,sangli
any_primary_sch_toilet,8.497252585912948,2.1073506336591925,4.03219684953821,5.918116723459767e-5,satara
availability_of_high_school,3.4176344694880183,0.832459980108581,4.105463987640875,4.342405838859875e-5,satara
gp_total_no_of_eligible_benefici,0.009367583572917027,0.0031939891708702927,2.9328789397130497,0.003429972296696682,satara
is_atm_available,-4.5989080577165184,1.357995910094949,-3.3865404332439923,7.335549056897131e-4,satara
is_broadband_available,2.6556480799828646,0.7698744871957135,3.4494558842391663,5.836279757257343e-4,satara
total_hhd_availing_pmjdy_bank_ac,0.008137844776593598,0.0029274870787986316,2.7798055320309625,0.005534561545635372,satara
total_hhd_having_bpl_cards,-0.006570846898298162,0.0026138875124089704,-2.513821603685784,0.012089135555908674,satara
total_hhd_having_piped_water_con,0.007027113357439652,0.002099097087103068,3.3476838211126596,8.432932989415458e-4,satara
availability_of_adult_edu_centre,-5.975708913519425,2.601343337915961,-2.297162710673479,0.022072911540802268,sindhudurg
availability_of_govt_degree_coll,4.26900753564825,1.8455009908437916,2.3131970976056717,0.021166893607046617,sindhudurg
is_atm_available,3.0295069106439274,1.1774044309241984,2.5730384828481827,0.010403935724937204,sindhudurg
is_primary_school_with_computer_,1.6375417081749466,0.8147840018164308,2.009786280197339,0.04505693872661091,sindhudurg
total_hhd_having_bpl_cards,0.008718269204731776,0.003229775833554794,2.6993418905906457,0.007212260244266523,sindhudurg
total_no_of_newly_born_children,0.15411264421660553,0.04616126512601709,3.3385706348361244,9.128826318213512e-4,sindhudurg
availability_of_high_school,3.0076771554457573,1.200078728800396,2.506233202260192,0.012415999155429784,solapur
availability_of_mid_day_meal_sch,4.340706358327582,1.9421896636605664,2.2349549271858344,0.025717986721455203,solapur
total_anemic_adolescent_girls,0.030818108047800625,0.014416622393458936,2.137678799285422,0.032869881944975254,solapur
total_hhd_having_piped_water_con,-0.00327967659450267,0.001320020654977555,-2.48456460293679,0.013191043679733581,solapur
total_minority_children_getting_,0.009360155033402592,0.002317661876619151,4.038619752013419,5.9376939624205336e-5,solapur
total_no_of_farmers_received_ben,0.0039188654946634765,0.0017717839678568635,2.2118190285939354,0.027283962251296968,solapur
availability_of_adult_edu_centre,-7.180354578032744,2.6245267237386516,-2.7358664375892854,0.006328154764961298,thane
