variable,estimate,p_value,adj_r2,rmse,district,theme
total_shg_accessed_bank_loans,0.23631360248357902,0.0016318339682368057,0.018179102105096323,12.555835966475803,akola,Others
availability_of_high_school,6.091812851671136,4.730461415907272e-8,0.032243375353112724,13.661487048081726,amravati,Education
availability_of_middle_school,6.126292872688136,3.933660218283885e-11,0.04733382801956587,13.554555194848955,amravati,Education
availability_of_public_library,6.04650509191911,7.468427472476402e-8,0.031269112726339365,13.668361983248513,amravati,Education
availability_of_ssc_school,6.795595196690332,1.550188609148054e-6,0.024799100620090164,13.713930520131576,amravati,Education
total_minority_children_getting_,0.019246235940387147,1.7119515502299853e-7,0.029499143164062658,13.680843026488494,amravati,Education
is_atm_available,7.503962897148923,6.174162752922317e-6,0.021854909630608654,13.734616515131506,amravati,Facilities
is_bank_available,9.744566825853042,1.2127197453817262e-12,0.054691539200629635,13.502110899981444,amravati,Facilities
is_broadband_available,3.191926670579979,0.001411310221303575,0.010397063290462194,13.814824940770885,amravati,Facilities
is_primary_school_with_computer_,3.2594961420255277,9.196916157362794e-4,0.011287456865204604,13.808608609442134,amravati,Facilities
public_transport,3.3065085084933936,0.021548828643026957,0.004857956161555599,13.853433867745506,amravati,Facilities
recreational_centre,2.444770328545311,0.014156521651703573,0.00569113624662132,13.847633277641838,amravati,Facilities
total_hhd_having_piped_water_con,0.00894097404138565,1.0002009987149308e-11,0.0502339795326574,13.533907759219492,amravati,Facilities
weekly_haat,4.429328963082033,2.965403949233536e-6,0.023416663459020715,13.7236474579636,amravati,Facilities
availability_of_mother_child_hea,3.176345544037855,7.021815959352418e-4,0.011850305571522779,13.804677606450761,amravati,Health
chc,6.504577650814463,1.3584447491258433e-7,0.02999266454734928,13.67736407687986,amravati,Health
sub_centre,4.053330357969996,0.001846572463323875,0.00984012500377629,13.81871181419554,amravati,Health
total_anemic_pregnant_women,0.1523329818131847,0.010413719154692715,0.006306183463763326,13.84334976669949,amravati,Health
total_no_of_lactating_mothers,0.17852262215290288,7.605127202533722e-10,0.0410440167059285,13.599227367787025,amravati,Health
total_no_of_newly_born_children,0.09205882580838605,3.955679309722466e-6,0.02280286433132961,13.727959552667244,amravati,Health
total_no_of_newly_born_underweig,0.33359992167188784,0.0027143061161788414,0.009045069432590092,13.824258615033905,amravati,Health
total_no_of_pregnant_women,0.013070818562710954,0.040537062590706906,0.0036277381762135352,13.861994193229437,amravati,Health
total_no_of_women_delivered_babi,0.17902780338209193,1.6998363745975468e-6,0.024602638866193183,13.715311839182435,amravati,Health
total_underweight_child_age_unde,0.10293014853817792,2.2782577224465224e-8,0.033801780285607874,13.6504828833023,amravati,Health
gp_total_hhd_receiving_food_grai,0.007253459440398219,8.485185320753576e-6,0.02117833932462665,13.739365722320246,amravati,Others
gp_total_no_of_eligible_benefici,0.010705861247138007,6.811261511807448e-8,0.03146562736653724,13.666975545845178,amravati,Others
total_hhd_availing_pmjdy_bank_ac,0.011726573495743972,9.851979626226928e-10,0.040493339145914686,13.603131464888639,amravati,Others
total_hhd_got_benefit_under_stat,0.026422648546658444,0.004426885706460484,0.00804138050225256,13.831257794968023,amravati,Others
total_hhd_having_bpl_cards,0.017142538609845458,4.889304274390258e-14,0.06144748184620308,13.453775854972372,amravati,Others
total_hhd_registered_under_pmjay,0.01571568653745012,7.979099775453778e-10,0.04094190586405333,13.59995137995015,amravati,Others
total_no_of_beneficiaries_receiv,0.17072818884637664,1.721952478495797e-5,0.019673806523251236,13.74992095925885,amravati,Others
total_no_of_farmers_received_ben,0.013424642445161407,2.681678339746703e-4,0.013867379140475311,13.79058091908887,amravati,Others
